eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,attn_eeg_esg,attn_esg_emg,chain_score
0,5,2,EEG0,ESG5,EMG2,0.08333,0.5,0.0416667
1,5,2,EEG1,ESG5,EMG2,0.08333,0.5,0.0416667
3,5,2,EEG3,ESG5,EMG2,0.08333,0.5,0.0416667
5,5,2,EEG5,ESG5,EMG2,0.08333,0.5,0.0416667
6,5,2,EEG6,ESG5,EMG2,0.08333,0.5,0.0416667
7,5,2,EEG7,ESG5,EMG2,0.08333,0.5,0.0416667
8,5,2,EEG8,ESG5,EMG2,0.08333,0.5,0.0416667
10,5,2,EEG10,ESG5,EMG2,0.08333,0.5,0.0416667
15,5,2,EEG15,ESG5,EMG2,0.08333,0.5,0.0416667
0,5,2,EEG0,ESG5,EMG2,0.07143,0.5,0.0357143
