eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,attn_eeg_esg,attn_esg_emg,chain_score
0,5,1,EEG0,ESG5,EMG1,0.08333,0.5,0.0416667
1,5,1,EEG1,ESG5,EMG1,0.08333,0.5,0.0416667
3,5,1,EEG3,ESG5,EMG1,0.08333,0.5,0.0416667
3,2,2,EEG3,ESG2,EMG2,0.08333,0.5,0.0416667
4,5,1,EEG4,ESG5,EMG1,0.08333,0.5,0.0416667
5,5,1,EEG5,ESG5,EMG1,0.08333,0.5,0.0416667
5,2,2,EEG5,ESG2,EMG2,0.08333,0.5,0.0416667
6,5,1,EEG6,ESG5,EMG1,0.08333,0.5,0.0416667
6,2,2,EEG6,ESG2,EMG2,0.08333,0.5,0.0416667
7,5,1,EEG7,ESG5,EMG1,0.08333,0.5,0.0416667
